,kata,vector
126,Toro,-0.0005658632
127,waterfall,-0.00049761415
128,is,-0.00072052394
129,Madura,-0.0006576366
130,natural,-0.00060840085
131,"tourism,",-0.00032499112
132,it's,-0.00079310907
133,nice,-0.00053872087
134,to,-0.00062336057
135,touch,-0.00052443007
136,the,-0.0006932193
137,hands,-0.00031306606
138,of,-0.0007271348
139,professional,-0.00031292578
140,"investors,",-0.00031867067
141,nice,-0.00053872087
142,flowers,-0.00021378687
143,peaceful,-0.00020358065
144,cool,-0.000644044
145,atmosphere,-0.0005359846
146,beautiful,-0.00062798394
147,toro,-0.00074961624
148,waterfall,-0.00049761415
149,is,-0.00072052394
150,a,-0.00076699915
151,must-visit,-0.00069019303
152,tour,-0.0007939188
153,for,-0.0009612242
154,"tourists,",-0.00078573433
155,the,-0.0006932193
156,location,-0.00087607244
157,of,-0.0007271348
158,the,-0.0006932193
159,dangers,-0.0007581928
160,of,-0.0007271348
161,"waterfalls,",-0.0008253651
162,"unfortunately,",-0.00077451824
163,toro,-0.00074961624
164,waterfalls,-0.0007815801
165,know,-0.00071201904
166,the,-0.0006932193
167,people,-0.00070064137
168,of,-0.0007271348
169,toro,-0.00074961624
170,pull,-0.00063753844
171,waterfalls,-0.0007815801
172,nice,-0.00053872087
173,waterfall,-0.00049761415
174,scenery,-0.0003890649
175,straight,-0.00044873357
176,to,-0.00062336057
177,the,-0.0006932193
178,sea,-0.00034458647
179,estuary,-0.00039812244
180,gag,-0.00037043617
181,disappointed,-0.00050820265
182,unique,-0.00036465342
183,water,-0.000524817
184,drop,-0.00034092047
185,into,-0.0002452471
186,sea,-0.00034458647
187,directly,-0.00030798398
188,but,-0.0004736106
189,river,-0.000523937
190,used,-0.00054279104
191,local,-0.00064370036
192,pungent,-0.0005920131
193,smell,-0.0005582598
194,noticeable,-0.000449434
195,solid,-6.008111e-07
196,eat,-0.0005778892
197,delicious,-0.00055199885
198,fish,-0.00047089215
199,on,-0.0006978999
200,the,-0.0006932193
201,side,-0.00028198736
202,of,-0.0007271348
203,the,-0.0006932193
204,road,-0.00079337053
205,facing,-0.00054066436
206,the,-0.0006932193
207,beach,-0.0006283848
208,nice,-0.00053872087
209,place,-0.0005874934
210,I,-0.0004696694
211,drowned,-0.00044646667
212,again,-0.00042793332
213,Look,-0.00044532728
214,at,-0.000612263
215,the,-0.0006932193
216,beauty,-0.000476797
217,of,-0.0007271348
218,the,-0.0006932193
219,"land,",-0.00049088424
220,consider,-0.0005338941
221,the,-0.0006932193
222,waterfall,-0.00049761415
223,to,-0.00062336057
224,go,-0.0005188362
225,down,-0.00045444912
226,to,-0.00062336057
227,the,-0.0006932193
228,"sea,",-0.0005160155
229,the,-0.0006932193
230,water,-0.000524817
231,of,-0.0007271348
232,the,-0.0006932193
233,waterfall,-0.00049761415
234,is,-0.00072052394
235,"dirty,",-0.0005052081
236,"dirty,",-0.0005052081
237,and,-0.0006442188
238,guarded,-0.0005428748
239,beautiful,-0.00062798394
240,nice,-0.00053872087
241,tours,-0.00036090755
242,natural,-0.00060840085
243,touch,-0.00052443007
244,attract,-0.00030515747
245,tourists,-0.00056859944
246,criticism,2.5673587e-06
247,toro,-0.00074961624
248,waterfall,-0.00049761415
249,is,-0.00072052394
250,a,-0.00076699915
251,must-visit,-0.00069019303
252,tour,-0.0007939188
253,for,-0.0009612242
254,"tourists,",-0.00078573433
255,the,-0.0006932193
256,location,-0.00087607244
257,of,-0.0007271348
258,the,-0.0006932193
259,dangers,-0.0007581928
260,of,-0.0007271348
261,"waterfalls,",-0.0008253651
262,"unfortunately,",-0.00077451824
263,toro,-0.00074961624
264,waterfalls,-0.0007815801
265,know,-0.00071201904
266,the,-0.0006932193
267,people,-0.00070064137
268,of,-0.0007271348
269,toro,-0.00074961624
270,pull,-0.00063753844
271,waterfalls,-0.0007815801
272,murky,-0.00045038917
273,loss,-0.0004760785
274,dirty,-0.00048606456
275,brown,-0.0003533204
276,waterfall,-0.00049761415
277,nice,-0.00053872087
278,disappointed,-0.00050820265
279,there,-0.00055227126
280,hidden,-0.00022760552
281,place,-0.0005874934
282,worth,-0.00053785014
283,quiet,-0.00042343145
284,from,-0.00071464037
285,crowds,-0.00037959058
286,though,-0.00046019847
287,accessible,-0.00050087424
288,any,-0.00046903582
289,vehicles,-0.00042946532
290,that,-0.00054816925
291,special,-0.00027403384
292,dirty,-0.00048606456
293,clean,-0.0005568606
294,guard,-0.00039614947
295,area,-0.000663141
296,pay,-0.0009178245
297,quite,-0.0006365671
298,bagus,-0.00054447085
299,place,-0.0005874934
300,but,-0.0004736106
301,need,-0.00062480173
302,more,-0.00023761016
303,improvement,-4.410354e-05
304,nice,-0.00053872087
305,fresh,-0.0005057448
306,air,-0.00018889096
307,beautiful,-0.00062798394
308,nice,-0.00053872087
309,by,-0.00065778004
310,the,-0.0006932193
311,highway,-0.0005826922
312,unfortunately,-0.0005018013
313,dirty,-0.00048606456
314,water,-0.000524817
315,mixed,-0.00048403526
316,with,-0.00053927174
317,brown,-0.0003533204
318,trash,-0.0004079648
319,beautiful,-0.00062798394
320,nice,-0.00053872087
321,different,-0.0004891139
322,dirty,-0.00048606456
323,photos,-0.00063272857
324,rainy,-0.00086138904
325,season,-0.0007269008
326,heavy,-0.00032548368
327,dirty,-0.00048606456
328,water,-0.000524817
329,annoying,-0.00023649132
330,trash,-0.0004079648
331,dirty,-0.00048606456
332,photo,-0.0006030458
333,trash,-0.0004079648
334,trash,-0.0004079648
335,street,-0.00032497608
336,evaluation,-0.00037138
337,entrance,-0.0008637644
338,ticket,-0.0007715435
339,pay,-0.0009178245
340,for,-0.0009612242
341,parking,-0.00073691865
342,afa,-0.00055255985
343,culinary,-0.0006337101
344,annoying,-0.00023649132
345,trash,-0.0004079648
346,very,-0.0005375934
347,loss,-0.0004760785
348,kereeenn,-0.00032694262
349,nice,-0.00053872087
350,disappointed,-0.00050820265
351,there,-0.00055227126
352,Waterfall,-0.0006394019
353,tour,-0.0007939188
354,by,-0.00065778004
355,the,-0.0006932193
356,beach,-0.0006283848
357,is,-0.00072052394
358,cool,-0.000644044
359,during,-0.00050481997
360,the,-0.0006932193
361,day,-0.00012923991
362,and,-0.0006442188
363,the,-0.0006932193
364,atmosphere,-0.0005359846
365,is,-0.00072052394
366,cool,-0.000644044
367,Good,1.0686244e-05
368,Good,1.0686244e-05
369,happy,-0.0004917157
370,rainy,-0.00086138904
371,season,-0.0007269008
372,dirty,-0.00048606456
373,water,-0.000524817
374,entrance,-0.0008637644
375,ticket,-0.0007715435
376,pay,-0.0009178245
377,for,-0.0009612242
378,parking,-0.00073691865
379,afa,-0.00055255985
380,culinary,-0.0006337101
381,it's,-0.00079310907
382,really,-0.00066140725
383,"good,",-0.0006998286
384,it's,-0.00079310907
385,a,-0.00076699915
386,shame,-0.0005704295
387,the,-0.0006932193
388,waterfall,-0.00049761415
389,road,-0.00079337053
390,is,-0.00072052394
391,badly,-0.0005845772
392,"damaged,",-0.00063907576
393,please,-0.0006831326
394,be,-0.00066985225
395,kind,-0.00058393646
396,the,-0.0006932193
397,sunset,-0.0006472509
398,green,-0.00037499826
399,waterfall,-0.00049761415
400,is,-0.00072052394
401,really,-0.00066140725
402,cool,-0.000644044
403,dirty,-0.00048606456
404,place,-0.0005874934
405,dirty,-0.00048606456
406,photo,-0.0006030458
407,trash,-0.0004079648
408,trash,-0.0004079648
409,street,-0.00032497608
410,evaluation,-0.00037138
411,nice,-0.00053872087
412,disappointed,-0.00050820265
413,there,-0.00055227126
414,when,-0.00073086476
415,you,-0.00058563903
416,visit,-0.0006737987
417,Madura,-0.0006576366
418,"Island,",-0.00061319827
419,go,-0.0005188362
420,around,-0.0007748208
421,covering,-0.00027243953
422,the,-0.0006932193
423,northern,-0.00045596098
424,coast,-0.0006994272
425,route,-0.0003824044
426,exploring,-0.00041922246
427,tourist,-0.00071121356
428,attractions,-0.0002405296
429,exploring,-0.00041922246
430,Bangkal,-0.00043071277
431,"Sumenep,",-0.00026133252
432,Juju,-0.0002820072
433,"Island,",-0.00061319827
434,"friends,",-0.0002624001
435,Javanese,-0.00020286745
436,flavors,-0.00019096423
437,beautiful,-0.00062798394
438,the,-0.0006932193
439,view,-0.0005749123
440,is,-0.00072052394
441,"beautiful,",-0.00055554626
442,"cool,",-0.0005585546
443,the,-0.0006932193
444,atmosphere,-0.0005359846
445,is,-0.00072052394
446,on,-0.0006978999
447,the,-0.0006932193
448,"seafront,",-0.0004263306
449,only,-0.0008716277
450,the,-0.0006932193
451,waterfall,-0.00049761415
452,is,-0.00072052394
453,in,-0.0008231309
454,the,-0.0006932193
455,rainy,-0.00086138904
456,season,-0.0007269008
457,It's,-0.00023619585
458,good,-0.0006085954
459,to,-0.00062336057
460,pay,-0.0009178245
461,for,-0.0009612242
462,the,-0.0006932193
463,bag,-0.00018124317
464,really,-0.00066140725
465,exciting,-0.00029369336
466,although,-0.0005547565
467,distance,-0.00062821014
468,from,-0.00071464037
469,surabaya,-0.0006594263
470,here,-0.0007493223
471,god,-0.0007262843
472,damn,-0.0007386156
473,around,-0.0007748208
474,kilometers,-0.00062179373
475,but,-0.0004736106
476,believe,-0.0006020224
477,that,-0.00054816925
478,worth,-0.00053785014
479,waterfall,-0.00049761415
480,drop,-0.00034092047
481,directly,-0.00030798398
482,into,-0.0002452471
483,sea,-0.00034458647
484,unique,-0.00036465342
485,but,-0.0004736106
486,remember,-0.00047096945
487,can,-0.00047359022
488,swim,-0.00048980734
489,hole,-0.00050027145
490,below,-0.0005300536
491,waterfall,-0.00049761415
492,annoying,-0.00023649132
493,trash,-0.0004079648
494,okay,-0.00042960298
495,parking,-0.00073691865
496,facilities,-0.00056973484
497,dirty,-0.00048606456
498,water,-0.000524817
499,logistics,-0.00030573315
500,free,-0.0005821242
501,rb,-0.0010400712
502,entrance,-0.0008637644
503,"ticket,",-0.0002873544
504,"rock,",-0.00023275275
505,cloudy,-0.00018763378
506,waterfall,-0.00049761415
507,water,-0.000524817
508,splash,-0.00018344817
509,sea,-0.00034458647
510,waterfall,-0.00049761415
511,falls,-0.0005699798
512,cool,-0.000644044
513,water,-0.000524817
514,waterfall,-0.00049761415
515,tourist,-0.00071121356
516,destination,-0.00044757305
517,directly,-0.00030798398
518,to,-0.00062336057
519,the,-0.0006932193
520,"sea,",-0.0005160155
521,the,-0.0006932193
522,location,-0.00087607244
523,of,-0.0007271348
524,"attraction,",-0.0003163805
525,really,-0.00066140725
526,love,-0.00064229703
527,recommendations,-0.0005745339
528,cramped,-0.00015698222
529,dirty,-0.00048606456
530,beautiful,-0.00062798394
531,waterfalls,-0.0007815801
532,north,-0.00062862306
533,madura,-0.00079906225
534,island,-0.0005703168
535,tourist,-0.00071121356
536,attraction,-0.0006782234
537,photos,-0.00063272857
538,toro,-0.00074961624
539,waterfall,-0.00049761415
540,is,-0.00072052394
541,a,-0.00076699915
542,must-visit,-0.00069019303
543,tour,-0.0007939188
544,for,-0.0009612242
545,"tourists,",-0.00078573433
546,the,-0.0006932193
547,location,-0.00087607244
548,of,-0.0007271348
549,the,-0.0006932193
550,dangers,-0.0007581928
551,of,-0.0007271348
552,"waterfalls,",-0.0008253651
553,"unfortunately,",-0.00077451824
554,toro,-0.00074961624
555,waterfalls,-0.0007815801
556,know,-0.00071201904
557,the,-0.0006932193
558,people,-0.00070064137
559,of,-0.0007271348
560,toro,-0.00074961624
561,pull,-0.00063753844
562,waterfalls,-0.0007815801
563,cool,-0.000644044
564,beautiful,-0.00062798394
565,place,-0.0005874934
566,go,-0.0005188362
567,Toro,-0.0005658632
568,waterfall,-0.00049761415
569,swimming,-0.0005819874
570,must,-0.00063384674
571,be,-0.00066985225
572,swimming,-0.0005819874
573,towards,-0.00056274544
574,the,-0.0006932193
575,beach,-0.0006283848
576,trough,-0.0005381395
577,tel.,-0.00057625805
578,The,-0.0006253217
579,victim,-0.00057367096
580,violated,-0.000565262
581,the,-0.0006932193
582,written,-0.0005970236
583,order,-0.00051546405
584,of,-0.0007271348
585,the,-0.0006932193
586,beach,-0.0006283848
587,area,-0.000663141
588,very,-0.0005375934
589,loss,-0.0004760785
590,kereeenn,-0.00032694262
591,pay,-0.0009178245
592,parking,-0.00073691865
593,stalls,-0.00067394454
594,welcome,-0.00070573954
595,toilet,-0.00080292346
596,advice,-0.0008409283
597,bathing,-0.0007729188
598,waterfall,-0.00049761415
599,category,-0.0006970402
600,in,-0.0008231309
601,danger,-0.00079360564
602,sharp,-0.0007707257
603,coral,-0.0007133199
604,bwt,-0.00074346917
605,gkbs,-0.00066457293
606,swimming,-0.0005819874
607,want,-0.0006066703
608,to,-0.00062336057
609,bathe,-0.0005854069
610,mending,-0.00056209136
611,beach,-0.0006283848
612,the,-0.0006932193
613,"location,",-0.0004392559
614,km,-0.0005437106
615,from,-0.00071464037
616,the,-0.0006932193
617,Suramadu,-0.00057828677
618,"bridge,",-0.00034079986
619,the,-0.0006932193
620,road,-0.00079337053
621,is,-0.00072052394
622,pretty,-0.00055261294
623,"good,",-0.0006998286
624,"quiet,",-0.00058748916
625,too,-0.00049871986
626,"bored,",-0.00041528483
627,the,-0.0006932193
628,"road,",-0.0006384075
629,the,-0.0006932193
630,location,-0.00087607244
631,directly,-0.00030798398
632,"parks,",-0.0003567698
633,charges,-0.00036999816
634,for,-0.0009612242
635,entering,-0.00026484832
636,the,-0.0006932193
637,water,-0.000524817
638,location,-0.00087607244
639,dirty,-0.00048606456
640,clean,-0.0005568606
641,place,-0.0005874934
642,toro,-0.00074961624
643,waterfall,-0.00049761415
644,is,-0.00072052394
645,a,-0.00076699915
646,must-visit,-0.00069019303
647,tour,-0.0007939188
648,for,-0.0009612242
649,"tourists,",-0.00078573433
650,the,-0.0006932193
651,location,-0.00087607244
652,of,-0.0007271348
653,the,-0.0006932193
654,dangers,-0.0007581928
655,of,-0.0007271348
656,"waterfalls,",-0.0008253651
657,"unfortunately,",-0.00077451824
658,toro,-0.00074961624
659,waterfalls,-0.0007815801
660,know,-0.00071201904
661,the,-0.0006932193
662,people,-0.00070064137
663,of,-0.0007271348
664,toro,-0.00074961624
665,pull,-0.00063753844
666,waterfalls,-0.0007815801
667,easy,-0.00072108384
668,to,-0.00062336057
669,find,-0.0002057024
670,location,-0.00087607244
671,quite,-0.0006365671
672,one,-0.00063930155
673,of,-0.0007271348
674,the,-0.0006932193
675,favorite,-0.0003694975
676,destinations,-0.0005173012
677,for,-0.0009612242
678,hunting,-0.0004526413
679,landscape,-0.0004883053
680,photos,-0.00063272857
681,on,-0.0006978999
682,Madura,-0.0006576366
683,Island,-0.00034993785
684,"disappointed,",-0.00040901516
685,good,-0.0006085954
686,afternoon,-0.0005211844
687,"view,",-0.00055220246
688,sunset,-0.0006472509
689,sunrise,-0.0004921374
690,view,-0.0005749123
691,nice,-0.00053872087
692,clean,-0.0005568606
693,wrong,-0.0007256653
694,uni,-0.0005003501
695,waterfall,-0.00049761415
696,straight,-0.00044873357
697,beautiful,-0.00062798394
698,sea,-0.00034458647
699,flow,-0.00057924696
700,spoiled,-0.00061973644
701,the,-0.0006932193
702,eye,-0.0006672444
703,wrong,-0.0007256653
704,tour,-0.0007939188
705,reliable,-0.0008085302
706,unit,-0.000761851
707,sampang,-0.0008878028
708,district,-0.000742105
709,madura,-0.00079906225
710,seldom,-0.00065770064
711,meet,-0.0006260328
712,pretty,-0.00055261294
713,good,-0.0006085954
714,"place,",-0.00054060575
715,really,-0.00066140725
716,suitable,-0.00067034824
717,for,-0.0009612242
718,long,-0.0006068357
719,exposure,-0.00016954569
720,"photos,",-0.00058956846
721,good,-0.0006085954
722,recommendations,-0.0005745339
723,in,-0.0008231309
724,the,-0.0006932193
725,afternoon,-0.0005211844
726,nice,-0.00053872087
727,disappointed,-0.00050820265
728,there,-0.00055227126
729,nice,-0.00053872087
730,waterfall,-0.00049761415
731,straight,-0.00044873357
732,down,-0.00045444912
733,the,-0.0006932193
734,sea,-0.00034458647
735,coast,-0.0006994272
736,fresh,-0.0005057448
737,look,-0.00050994346
738,really,-0.00066140725
739,good,-0.0006085954
740,dumbfounded,-2.2815837e-05
741,nice,-0.00053872087
742,waterfall,-0.00049761415
743,scenery,-0.0003890649
744,straight,-0.00044873357
745,to,-0.00062336057
746,the,-0.0006932193
747,sea,-0.00034458647
748,estuary,-0.00039812244
749,gag,-0.00037043617
750,disappointed,-0.00050820265
751,dumbfounded,-2.2815837e-05
752,looking,-0.00051697704
753,at,-0.000612263
754,the,-0.0006932193
755,"waterfall,",-0.0007052306
756,"doubtful,",-0.00052652095
757,the,-0.0006932193
758,waterfall,-0.00049761415
759,is,-0.00072052394
760,"high,",-0.00059706136
761,"meters,",-0.00060603773
762,walk,-0.0006638453
763,for,-0.0009612242
764,a,-0.00076699915
765,"while,",-0.0006430247
766,park,-0.0006167117
767,the,-0.0006932193
768,"waterfall,",-0.0007052306
769,immediately,-0.00071421324
770,need,-0.00062480173
771,trekking,-0.0005460885
772,What,-0.0005546989
773,rubbish,-0.0005802663
774,are,-0.0006749714
775,you,-0.00058563903
776,disappointed?,-0.00052748184
777,muddy,-0.00067371165
778,water,-0.000524817
779,in,-0.0008231309
780,the,-0.0006932193
781,rainy,-0.00086138904
782,season,-0.0007269008
783,the,-0.0006932193
784,volume,-0.0005320725
785,of,-0.0007271348
786,water,-0.000524817
787,is,-0.00072052394
788,afraid,-0.0005403242
789,looking,-0.00051697704
790,at,-0.000612263
791,the,-0.0006932193
792,"waterfall,",-0.0007052306
793,"doubtful,",-0.00052652095
794,the,-0.0006932193
795,waterfall,-0.00049761415
796,is,-0.00072052394
797,"high,",-0.00059706136
798,"meters,",-0.00060603773
799,walk,-0.0006638453
800,for,-0.0009612242
801,a,-0.00076699915
802,"while,",-0.0006430247
803,park,-0.0006167117
804,the,-0.0006932193
805,"waterfall,",-0.0007052306
806,immediately,-0.00071421324
807,need,-0.00062480173
808,trekking,-0.0005460885
809,different,-0.0004891139
810,dirty,-0.00048606456
811,photos,-0.00063272857
812,entrance,-0.0008637644
813,ticket,-0.0007715435
814,pay,-0.0009178245
815,for,-0.0009612242
816,parking,-0.00073691865
817,afa,-0.00055255985
818,culinary,-0.0006337101
819,nice,-0.00053872087
820,waterfall,-0.00049761415
821,already,-0.0002354605
822,got,-0.00021298388
823,there,-0.00055227126
824,annoying,-0.00023649132
825,trash,-0.0004079648
826,Good,1.0686244e-05
827,beautiful,-0.00062798394
828,view,-0.0005749123
829,difficult,-0.0005038642
830,parking,-0.00073691865
831,support,-0.0005020903
832,recreation,-0.000412089
833,beach,-0.0006283848
834,right,-0.00059554446
835,sea,-0.00034458647
836,sand,-0.0005292586
837,quarry,-0.00026823723
838,nice,-0.00053872087
839,waterfall,-0.00049761415
840,scenery,-0.0003890649
841,straight,-0.00044873357
842,to,-0.00062336057
843,the,-0.0006932193
844,sea,-0.00034458647
845,estuary,-0.00039812244
846,gag,-0.00037043617
847,disappointed,-0.00050820265
848,different,-0.0004891139
849,dirty,-0.00048606456
850,photos,-0.00063272857
851,long,-0.0006068357
852,drive,-0.0005627559
853,from,-0.00071464037
854,bangkal,-0.0005650361
855,with,-0.00053927174
856,uneven,-0.00054194685
857,surface,-0.0005002457
858,dirty,-0.00048606456
859,murky,-0.00045038917
860,water,-0.000524817
861,not,-0.00055438385
862,space,-0.0005417871
863,take,-0.0006298009
864,photos,-0.00063272857
865,wasn,-0.0006225837
866,expecting,-0.00066085433
867,that,-0.00054816925
868,actually,-0.00066768157
869,worst,-0.00066743384
870,than,-0.0006504289
871,photos,-0.00063272857
872,hidup,-0.00069999596
873,google,-0.0006518681
874,search,-0.0007001958
875,would,-0.00065284915
876,not,-0.00055438385
877,recommend,-0.0006136695
878,place,-0.0005874934
879,for,-0.0009612242
880,visit,-0.0006737987
881,nice,-0.00053872087
882,view,-0.0005749123
883,suitable,-0.00067034824
884,photo,-0.0006030458
885,spot,-0.00064437336
886,bagus,-0.00054447085
887,waterfall,-0.00049761415
888,with,-0.00053927174
889,view,-0.0005749123
890,of,-0.0007271348
891,sea,-0.00034458647
892,rekomendasi,-0.0005073498
893,stopping,-0.00065414177
894,madura,-0.00079906225
895,close,-0.0007051284
896,proximity,-0.00077622395
897,main,-0.0006377084
898,road,-0.00079337053
899,large,-0.0006224481
900,parking,-0.00073691865
901,area,-0.000663141
902,nice,-0.00053872087
903,view,-0.0005749123
904,relax,-0.0005367199
905,cramped,-0.00015698222
906,dirty,-0.00048606456
907,amazed,-0.00053009007
908,the,-0.0006932193
909,waterfall,-0.00049761415
910,falls,-0.0005699798
911,directly,-0.00030798398
912,into,-0.0002452471
913,the,-0.0006932193
914,sea,-0.00034458647
915,wonderful,-0.00014646938
916,photo,-0.0006030458
917,spots,-0.00074144127
918,for,-0.0009612242
919,entrance,-0.0008637644
920,tickets,-0.0008531768
921,only,-0.0008716277
922,pay,-0.0009178245
923,for,-0.0009612242
924,car,-0.0009316217
925,"parking,",-0.0008919158
926,rb,-0.0010400712
927,"motorbikes,",-0.0009318096
928,rb,-0.0010400712
929,prayer,-0.0008442867
930,rooms,-0.0007127122
931,for,-0.0009612242
932,toilets,-0.0006750674
933,wrong,-0.0007256653
934,uni,-0.0005003501
935,waterfall,-0.00049761415
936,straight,-0.00044873357
937,beautiful,-0.00062798394
938,sea,-0.00034458647
939,flow,-0.00057924696
940,spoiled,-0.00061973644
941,the,-0.0006932193
942,eye,-0.0006672444
943,wrong,-0.0007256653
944,tour,-0.0007939188
945,reliable,-0.0008085302
946,unit,-0.000761851
947,sampang,-0.0008878028
948,district,-0.000742105
949,madura,-0.00079906225
950,seldom,-0.00065770064
951,meet,-0.0006260328
952,good,-0.0006085954
953,view,-0.0005749123
954,subject,-0.00039932693
955,to,-0.00062336057
956,entry,-0.0005953513
957,fee,-0.0005260974
958,Look,-0.00044532728
959,at,-0.000612263
960,the,-0.0006932193
961,beauty,-0.000476797
962,of,-0.0007271348
963,the,-0.0006932193
964,"land,",-0.00049088424
965,consider,-0.0005338941
966,the,-0.0006932193
967,waterfall,-0.00049761415
968,to,-0.00062336057
969,go,-0.0005188362
970,down,-0.00045444912
971,to,-0.00062336057
972,the,-0.0006932193
973,"sea,",-0.0005160155
974,the,-0.0006932193
975,water,-0.000524817
976,of,-0.0007271348
977,the,-0.0006932193
978,waterfall,-0.00049761415
979,is,-0.00072052394
980,"dirty,",-0.0005052081
981,"dirty,",-0.0005052081
982,and,-0.0006442188
983,guarded,-0.0005428748
984,good,-0.0006085954
985,cheap,-0.00070469675
986,tickets,-0.0008531768
987,good,-0.0006085954
988,low,-0.0004596171
989,cost,-0.00015630748
990,curious,-0.0002120156
991,to,-0.00062336057
992,get,-0.0007395524
993,there,-0.00055227126
994,so,-0.00026688803
995,beautiful,-0.00062798394
996,okay,-0.00042960298
997,place,-0.0005874934
998,pencil,-9.244285e-05
999,easy,-0.00072108384
1000,to,-0.00062336057
1001,reach,-0.00037202387
1002,good,-0.0006085954
1003,"view,",-0.00055220246
1004,able,-0.00020626425
1005,to,-0.00062336057
1006,go,-0.0005188362
1007,up,-0.00031651167
1008,and,-0.0006442188
1009,down,-0.00045444912
1010,the,-0.0006932193
1011,"stairs,",-0.00028943492
1012,really,-0.00066140725
1013,explore,-0.00040235353
1014,the,-0.0006932193
1015,location,-0.00087607244
1016,of,-0.0007271348
1017,the,-0.0006932193
1018,north,-0.00062862306
1019,Madura,-0.0006576366
1020,"route,",-0.00027840814
1021,it's,-0.00079310907
1022,a,-0.00076699915
1023,very,-0.0005375934
1024,quiet,-0.00042343145
1025,place,-0.0005874934
1026,the,-0.0006932193
1027,waterfall,-0.00049761415
1028,is,-0.00072052394
1029,really,-0.00066140725
1030,"nice,",-0.00037545335
1031,the,-0.0006932193
1032,water,-0.000524817
1033,flows,-0.00023895089
1034,straight,-0.00044873357
1035,to,-0.00062336057
1036,the,-0.0006932193
1037,"beach,",-0.0006297067
1038,the,-0.0006932193
1039,color,-0.00026006662
1040,of,-0.0007271348
1041,the,-0.0006932193
1042,waterfall,-0.00049761415
1043,makes,-0.00047515603
1044,you,-0.00058563903
1045,don't,-0.00024791612
1046,want,-0.0006066703
1047,to,-0.00062336057
1048,go,-0.0005188362
1049,"home,",-0.00029802852
1050,ready,-0.0006333929
1051,to,-0.00062336057
1052,"eat,",-0.00052277325
1053,it's,-0.00079310907
1054,really,-0.00066140725
1055,comfortable,-0.0005712414
1056,to,-0.00062336057
1057,look,-0.00050994346
1058,"at,",-0.0002711703
