Text,Compound,Positive,Negative,Neutral,sentiment
the beautiful natural atmosphere of the sea waterfall,0.7506,0.516,0.0,0.484,positive
love the sne beach waterfall tour,0.6369,0.457,0.0,0.543,positive
beautiful view of the wide sea,0.5994,0.438,0.0,0.562,positive
hidden place worth quiet from crowds though accessible any vehicles that special,0.5574,0.315,0.0,0.685,positive
beautiful,0.5994,1.0,0.0,0.0,positive
amazed the place is good for natural baths,0.8225,0.632,0.0,0.368,positive
"maximum good management as a gift from God, thanks",0.8689,0.684,0.0,0.316,positive
entertain yourself,0.3182,0.697,0.0,0.303,positive
Good,0.4404,1.0,0.0,0.0,positive
happy friend there,0.7845,0.873,0.0,0.127,positive
Good,0.4404,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
happy friend there,0.7845,0.873,0.0,0.127,positive
toro waterfall location in sampang district waterfall view is pretty good sunset road location terrain smooth toro waterfall can take a bath already tel victim camp,0.6124,0.196,0.067,0.737,positive
solid,0.1531,1.0,0.0,0.0,positive
cool tourist attraction,0.6486,0.841,0.0,0.159,positive
"beautiful, fresh, wow",0.875,1.0,0.0,0.0,positive
nice tours natural touch attract tourists,0.7783,0.722,0.0,0.278,positive
"it's natural, it's as good as it's exotic, it's comfortable, Santa, the entrance ticket to KRB is the location of the waterfall",0.8271,0.314,0.0,0.686,positive
times the waterfall immediately amazed the sea,0.4939,0.348,0.0,0.652,positive
cool comfortable happy rides,0.8519,0.903,0.0,0.097,positive
casual coffee is suitable,0.2023,0.375,0.0,0.625,positive
Satisfied parking is expensive,0.4215,0.483,0.0,0.517,positive
pretty good tourist location,0.7269,0.753,0.0,0.247,positive
toro waterfall tour river water straight to the sea waterfall good place to see tickets greetings from jember hopefully depa is cool toro waterfall,0.891,0.399,0.0,0.601,positive
The rare seaside waterfall is easily accessible from the main road,0.34,0.194,0.0,0.806,positive
good visit,0.4404,0.744,0.0,0.256,positive
"okay, spot the photo above the waterfall, spot the photo limit",0.2263,0.16,0.0,0.84,positive
bagus view still natural need more manage,0.3612,0.294,0.0,0.706,positive
amazed view of the waterfall falling on the beach,0.3818,0.271,0.136,0.593,positive
"good view, write toro waterfall for photographers capture waterfall disturbing icon write toilet ready",0.2732,0.274,0.168,0.558,positive
fun Santa enjoys the beautiful waves of the gurgling waterfall,0.8885,0.6,0.0,0.4,positive
cool ma tree,0.3182,0.535,0.0,0.465,positive
Good,0.4404,1.0,0.0,0.0,positive
amazed,0.4939,1.0,0.0,0.0,positive
nice cool place,0.6249,0.836,0.0,0.164,positive
clean and tidy place amazed,0.7096,0.663,0.0,0.337,positive
"jungle tourism is a treat, a beautiful view, satisfied with the eyes, disappointed with visiting the island of Madura",0.743,0.342,0.113,0.545,positive
handsome,0.4939,1.0,0.0,0.0,positive
happy,0.5719,1.0,0.0,0.0,positive
beautiful waterfall lgs sea complete leseh dining facilities,0.5994,0.358,0.0,0.642,positive
entertain yourself,0.3182,0.697,0.0,0.303,positive
"Padang Toro waterfall is good, parking is wide, happy",0.765,0.485,0.0,0.515,positive
very natural waterfall by the beach please keep it original dirty trash,0.5413,0.404,0.159,0.437,positive
Madurai is really beautiful,0.6361,0.583,0.0,0.417,positive
pretty cool,0.6705,1.0,0.0,0.0,positive
Selpie view is very good,0.4927,0.444,0.0,0.556,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful,0.5994,1.0,0.0,0.0,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
pretty good,0.7269,1.0,0.0,0.0,positive
satisfied view lost bal,0.128,0.394,0.324,0.282,positive
Good,0.4404,1.0,0.0,0.0,positive
natural waterfall crystal clear falling sea,0.5423,0.526,0.165,0.309,positive
eat delicious fish on the side of the road facing the beach,0.5719,0.252,0.0,0.748,positive
takjub place for landscape lover,0.5859,0.487,0.0,0.513,positive
"beautiful, suitable for relaxing, waterfalls by the beautiful beach ahead of the southern afternoon, the afternoon sun beach just west",0.9001,0.393,0.0,0.607,positive
pretty beautiful location,0.7964,0.877,0.0,0.123,positive
cool dude,0.3182,0.697,0.0,0.303,positive
beautiful wonder beach,0.5994,0.661,0.0,0.339,positive
very good,0.4927,0.762,0.0,0.238,positive
beautiful,0.5994,1.0,0.0,0.0,positive
"there the water is really fast, cool, nice view",0.6851,0.446,0.0,0.554,positive
panorama of waterfalls straight to the sea amazed photo fun heart rainy season slippery rocks,0.9062,0.527,0.054,0.418,positive
quite bagus place but need more improvement,0.664,0.425,0.0,0.575,positive
nice beach eat sea waterfall,0.4215,0.412,0.0,0.588,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
beautiful,0.5994,1.0,0.0,0.0,positive
pretty good,0.7269,1.0,0.0,0.0,positive
"wide parking lot, great view",0.6249,0.506,0.0,0.494,positive
"it's beautiful, it's comfortable, brother, let's visit, the entrance fee for parking is cheap",0.802,0.375,0.0,0.625,positive
beautiful,0.5994,1.0,0.0,0.0,positive
nice photo spot,0.4215,0.583,0.0,0.417,positive
take care,0.4939,0.762,0.0,0.238,positive
nice comfortable,0.7269,1.0,0.0,0.0,positive
really good spot photos of nice unique objects,0.7178,0.5,0.0,0.5,positive
cool place,0.3182,0.697,0.0,0.303,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
"really amazed the waterfall meets the open sea, the clear water spoils the eyes of the tourists present",0.7264,0.276,0.0,0.724,positive
nice waterfall straight to the sea,0.5719,0.54,0.0,0.46,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
beautiful view difficult parking support recreation beach right sea sand quarry,0.6249,0.386,0.146,0.468,positive
"the location of the natural spot of attraction, love, dirty, dirty, task, command, manage",0.5994,0.396,0.237,0.367,positive
delicious pentol,0.5719,0.787,0.0,0.213,positive
Madura beautiful waterfall,0.5994,0.661,0.0,0.339,positive
clear water cool atmosphere,0.5994,0.71,0.0,0.29,positive
Good,0.4404,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
it's good to be disappointed playing here,0.1531,0.398,0.263,0.339,positive
manage for free manage the mosque parking toilet cafe,0.5106,0.292,0.0,0.708,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
"nice view, comfortable place, dear, flowing waterfall, plastic waste and how to manage clean garbage, look at it",0.8225,0.419,0.103,0.478,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
nice photo,0.4215,0.737,0.0,0.263,positive
beautiful beautiful mesmerizing,0.8316,0.886,0.0,0.114,positive
comfortable enjoying the sunset,0.7717,0.77,0.0,0.23,positive
Madura is cool,0.3182,0.535,0.0,0.465,positive
beautiful,0.5994,1.0,0.0,0.0,positive
suitable for refreshing lost calm mind due to busy solutions,0.1779,0.301,0.173,0.526,positive
beautiful,0.5994,1.0,0.0,0.0,positive
the sunset green waterfall is really cool,0.3804,0.302,0.0,0.698,positive
really good clean water,0.7328,0.755,0.0,0.245,positive
good straight dirty sea,0.2263,0.552,0.333,0.115,positive
nice atmosphere cool cool gayzz,0.7506,0.787,0.0,0.213,positive
look good eat good,0.7003,0.744,0.0,0.256,positive
panorama of waterfalls straight to the sea amazed photo fun heart rainy season slippery rocks,0.9062,0.527,0.054,0.418,positive
easy access to the impression of love for the hot weather coast,0.8402,0.5,0.0,0.5,positive
take care,0.4939,0.762,0.0,0.238,positive
"Toro waterfall is Madura natural tourism, it's nice to touch the hands of professional investors, nice flowers",0.7964,0.367,0.0,0.633,positive
fresh,0.3182,1.0,0.0,0.0,positive
"one Madura waterfall, a river waterfall, straight to the sea, really good, great culinary, recommendations for mackerel mackerel",0.8581,0.387,0.0,0.613,positive
"pull waterfalls, sampang area, fresh water, comfortable bathing, minimal sitting tours",0.6808,0.384,0.0,0.616,positive
fun,0.5106,1.0,0.0,0.0,positive
pretty narrow,0.4939,0.762,0.0,0.238,positive
good smart place to take photo spots,0.6808,0.528,0.0,0.472,positive
good paid parking,0.4404,0.592,0.0,0.408,positive
happy,0.5719,1.0,0.0,0.0,positive
beautiful flowing waterfall beautiful,0.8316,0.796,0.0,0.204,positive
good smart place to take photo spots,0.6808,0.528,0.0,0.472,positive
cool waterfall near the sea just take care,0.6705,0.478,0.0,0.522,positive
solid,0.1531,1.0,0.0,0.0,positive
still love it,0.6369,0.677,0.0,0.323,positive
fun,0.5106,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
"wrong place to go there, good place, hope there is a suggestion to play water object photos",0.6249,0.337,0.128,0.535,positive
it's really exciting to trigger adrenaline to take pictures from the waterfall,0.5413,0.241,0.0,0.759,positive
Good,0.4404,1.0,0.0,0.0,positive
"waterfall facing directly to the sea, beautiful sunset view, check ig",0.5994,0.281,0.0,0.719,positive
Good,0.4404,1.0,0.0,0.0,positive
exciting toro waterfall,0.4939,0.615,0.0,0.385,positive
"a cool natural place with easy access to the side of the road, please be careful to bring the elderly down, great culinary",0.9287,0.48,0.0,0.52,positive
great views,0.6249,0.804,0.0,0.196,positive
nice fun rocks sitting playing water photos,0.7845,0.664,0.0,0.336,positive
beautiful waterfall right beach with sunset,0.5994,0.438,0.0,0.562,positive
nice clean,0.6705,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
remember to save there,0.4939,0.516,0.0,0.484,positive
nice beautiful,0.7717,1.0,0.0,0.0,positive
amazed the place is good for natural baths,0.8225,0.632,0.0,0.368,positive
happy happy,0.8126,1.0,0.0,0.0,positive
good natural potential maximum management bank Mandiri,0.6597,0.519,0.0,0.481,positive
comfortable travel,0.5106,0.767,0.0,0.233,positive
"okay waterfall view, access to the main road, okay facilities",0.4215,0.322,0.0,0.678,positive
pretty good,0.7269,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
calm,0.3182,1.0,0.0,0.0,positive
very good,0.4927,0.762,0.0,0.238,positive
place beautiful convenience,0.5994,0.661,0.0,0.339,positive
covering toro waterfalls wrong waterfalls beautiful madura unique waterfalls straight flowing north sea java sunset beach identical toro sand,0.4019,0.233,0.124,0.643,positive
beautiful cool waterfall,0.7351,0.861,0.0,0.139,positive
"the location, km from the Suramadu bridge, the road is pretty good, quiet, too bored, the road, the location directly parks, charges for entering the water location",0.4404,0.183,0.126,0.691,positive
culinary fish leeseh great delicious bukber great place,0.9169,0.704,0.0,0.296,positive
handsome,0.4939,1.0,0.0,0.0,positive
"Toro waterfall is Madura natural tourism, it's nice to touch the hands of professional investors, nice flowers",0.7964,0.367,0.0,0.633,positive
waterfall straight to the beach amazed cool,0.7506,0.649,0.0,0.351,positive
cool,0.3182,1.0,0.0,0.0,positive
beautiful,0.5994,1.0,0.0,0.0,positive
"toro ketapang waterfall, sampang madura, really good view",0.4927,0.313,0.0,0.687,positive
small waterfall but milik easy access near public road panorama sunset beautiful can go down below waterfall take some pictures but careful many rocks around still one of several popular waterfall madura island rekomendasi place visit re madura,0.9413,0.303,0.0,0.697,positive
beautiful waterfall enjoys sunset waterfall,0.802,0.706,0.0,0.294,positive
solid,0.1531,1.0,0.0,0.0,positive
cool instagramable,0.3182,0.697,0.0,0.303,positive
nice beautiful,0.7717,1.0,0.0,0.0,positive
"great view, really nice, beautiful waterfall directly to the beach",0.9076,0.619,0.0,0.381,positive
Beautiful waterfalls fall directly off the north coast of Madura Island,0.5994,0.281,0.0,0.719,positive
toro waterfall complete with prayer room facilities toilets food stalls sometimes open sometimes close easy natural tourism highways subject to parking r r spacious parking comfortable,0.8271,0.274,0.0,0.726,positive
wow,0.5859,1.0,0.0,0.0,positive
casual coffee is suitable,0.2023,0.375,0.0,0.625,positive
"okay, spot the photo above the waterfall, spot the photo limit",0.2263,0.16,0.0,0.84,positive
beautiful visit,0.5994,0.796,0.0,0.204,positive
nice waterfall with a nice beach fast waterfall with low tide,0.5423,0.357,0.134,0.51,positive
look really good,0.4927,0.615,0.0,0.385,positive
really exciting,0.5413,0.777,0.0,0.223,positive
good low cost,0.2023,0.483,0.35,0.167,positive
"beautiful, very suitable for spoiled tourists, beautiful eyes, waterfalls, different mountains by the coast",0.8316,0.394,0.0,0.606,positive
Good,0.4404,1.0,0.0,0.0,positive
easy access,0.4404,0.744,0.0,0.256,positive
reasonable price good grouper fish,0.4404,0.42,0.0,0.58,positive
"nice waterfall, cool photo spot",0.6249,0.63,0.0,0.37,positive
a beautiful clean place to enjoy the sunset on Madura Island,0.8689,0.551,0.0,0.449,positive
Good,0.4404,1.0,0.0,0.0,positive
pretty swimming,0.4939,0.762,0.0,0.238,positive
perfect,0.5719,1.0,0.0,0.0,positive
really exciting,0.5413,0.777,0.0,0.223,positive
Good,0.4404,1.0,0.0,0.0,positive
dear flood,0.3818,0.722,0.0,0.278,positive
good okay,0.5859,1.0,0.0,0.0,positive
look good and taste cool,0.6369,0.634,0.0,0.366,positive
perfect,0.5719,1.0,0.0,0.0,positive
happy happy,0.8126,1.0,0.0,0.0,positive
beautiful wonder beach,0.5994,0.661,0.0,0.339,positive
"one of the madura waterfalls on the north coast, a distance of km from the city center of Sampang Bara, a beautiful waterfall directly at the mouth of the open sea, the north sea, the charm of tourists, the sunrise in the morning, the sunset in the afternoon",0.765,0.125,0.0,0.875,positive
beautiful visit,0.5994,0.796,0.0,0.204,positive
"Cheap entrance tickets to Nice Beach, Waterfall adds to the rare panorama, Rarely, Jung water, Kisar Beach, Batu Karang Beach, Nice selfie",0.6808,0.219,0.0,0.781,positive
nice tours natural touch attract tourists,0.7783,0.722,0.0,0.278,positive
clean water,0.4019,0.73,0.0,0.27,positive
"The waterfall, located directly on the beach, makes people curious to eat, drink, and drink toilets. The mosque is in the form of a guard post, the prayer room must be comfortable",0.6808,0.157,0.0,0.843,positive
nice waterfalls,0.4215,0.737,0.0,0.263,positive
"roadside location, easy to find, stop for a moment, enjoy the atmosphere of a waterfall falling by the beach",0.5106,0.245,0.153,0.602,positive
"good, good",0.7003,1.0,0.0,0.0,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
solid,0.1531,1.0,0.0,0.0,positive
nice fresh air,0.6249,0.836,0.0,0.164,positive
cool tourist attraction,0.6486,0.841,0.0,0.159,positive
fix it there it's easy to visit advanced locations,0.5994,0.412,0.0,0.588,positive
nice waterfall direct sea cool,0.6249,0.63,0.0,0.37,positive
"spacious parking lot, it's really good in the evening dusk",0.4927,0.262,0.0,0.738,positive
look good and taste cool,0.6369,0.634,0.0,0.366,positive
"a cool natural place with easy access to the side of the road, please be careful to bring the elderly down, great culinary",0.9287,0.48,0.0,0.52,positive
nice place,0.4215,0.737,0.0,0.263,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
"good place, please spot photo spots, waterfalls, playgrounds, recommendations",0.6369,0.426,0.0,0.574,positive
toro waterfall one madura waterfall the source of natural spring water goes straight down to the sea the location of the waterfall is east ketapang village ketapang sub-district head sampang madura district roadside location easy for tourists to visit,0.743,0.169,0.0,0.831,positive
good street parking cheap entry fee rb car shady hot parking,0.4404,0.225,0.0,0.775,positive
beautiful sorry,0.5574,0.75,0.25,0.0,positive
cheap tours in beautiful view,0.5994,0.494,0.0,0.506,positive
solid,0.1531,1.0,0.0,0.0,positive
cool tourist attraction,0.6486,0.841,0.0,0.159,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
"cool waterfall, the water immediately falls on the beach, the beach is pretty clean, free access, pay for motorcycle parking, rb meals",0.8779,0.385,0.047,0.569,positive
Hmmm beautiful,0.5994,0.796,0.0,0.204,positive
beautiful,0.5994,1.0,0.0,0.0,positive
cheap sometimes free,0.5106,0.623,0.0,0.377,positive
"good place at Suramadu Bridge, Bangkal City",0.4404,0.326,0.0,0.674,positive
Good,0.4404,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
fun Santa enjoys the beautiful waves of the gurgling waterfall,0.8885,0.6,0.0,0.4,positive
good means of support,0.6808,0.737,0.0,0.263,positive
"it is mandatory to support the natural tourist destination of Sampang City, let's play there",0.7845,0.447,0.0,0.553,positive
"nice waterfall, cool photo spot",0.6249,0.63,0.0,0.37,positive
"Culinary crowds, exciting waterfalls, tides, like suggestions for bathing, waterfalls, paying for parking for a vehicle, a large parking area, bias for motorbikes, cars, tourism buses",0.6486,0.189,0.047,0.764,positive
nice beach trip,0.4215,0.583,0.0,0.417,positive
Good,0.4404,1.0,0.0,0.0,positive
small waterfall but milik easy access near public road panorama sunset beautiful can go down below waterfall take some pictures but careful many rocks around still one of several popular waterfall madura island rekomendasi place visit re madura,0.9413,0.303,0.0,0.697,positive
"free rb entrance ticket, rock, cloudy waterfall water",0.5106,0.32,0.0,0.68,positive
natural beauty,0.743,1.0,0.0,0.0,positive
cool waterfall near beach not too crowded people aren't allowed bath waterfall rocks quite slippery gratis entry only pay for parking still lots of small animals hidup beach suka hermit crab little,0.3353,0.111,0.041,0.848,positive
"easy roadside location, free htm, just pay for parking, delicious, relaxing family photos, complete with stalls, prayer rooms, parking lots",0.9136,0.444,0.047,0.508,positive
clear water cool atmosphere,0.5994,0.71,0.0,0.29,positive
one cool Madura near the sea asphalt road,0.3182,0.247,0.0,0.753,positive
easy access roadside location,0.4404,0.492,0.0,0.508,positive
nice cool place,0.6249,0.836,0.0,0.164,positive
"good spot for photos on the seafront, clean waterfall, complete with cheap ticket meals",0.6808,0.318,0.0,0.682,positive
"good place at Suramadu Bridge, Bangkal City",0.4404,0.326,0.0,0.674,positive
nice holiday,0.6705,1.0,0.0,0.0,positive
nice tours natural touch attract tourists,0.7783,0.722,0.0,0.278,positive
pretty cool,0.6705,1.0,0.0,0.0,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
Good,0.4404,1.0,0.0,0.0,positive
satisfied steady,0.4215,0.737,0.0,0.263,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
good free,0.7351,1.0,0.0,0.0,positive
manage cool place friendly tourism,0.6705,0.647,0.0,0.353,positive
"roadside location, easy to find, stop for a moment, enjoy the atmosphere of a waterfall falling by the beach",0.5106,0.245,0.153,0.602,positive
delicious spiced coffee,0.5719,0.649,0.0,0.351,positive
curious to get there,0.3182,0.434,0.0,0.566,positive
good street parking cheap entry fee rb car shady hot parking,0.4404,0.225,0.0,0.775,positive
nice waterfall straight to the sea,0.5719,0.54,0.0,0.46,positive
exciting toro waterfall,0.4939,0.615,0.0,0.385,positive
Good,0.4404,1.0,0.0,0.0,positive
"nice view, comfortable place, dear, flowing waterfall, plastic waste and how to manage clean garbage, look at it",0.8225,0.419,0.103,0.478,positive
"nice beach, waterfall, entrance fee, parking for motorbikes there, good morning, low tide, good photo spots",0.7579,0.379,0.093,0.529,positive
"toroan waterfall, cheap waterfall, direct to the beach, complete facilities, prayer room, spacious parking area, love the swimming area, the waterfall area is quite a holiday, enjoys nature",0.8943,0.301,0.0,0.699,positive
Satisfied parking is expensive,0.4215,0.483,0.0,0.517,positive
"beautiful, suitable for relaxing, waterfalls by the beautiful beach ahead of the southern afternoon, the afternoon sun beach just west",0.9001,0.393,0.0,0.607,positive
Good,0.4404,1.0,0.0,0.0,positive
very cool,0.3804,0.722,0.0,0.278,positive
fun Santa enjoys the beautiful waves of the gurgling waterfall,0.8885,0.6,0.0,0.4,positive
solid,0.1531,1.0,0.0,0.0,positive
"nice waterfall, really cool, really suitable to get rid of fatigue",0.5256,0.35,0.13,0.52,positive
pretty clean comfortable,0.8481,1.0,0.0,0.0,positive
the atmosphere of a hot afternoon is comfortable for the eyes to look at one of God's beautiful creations,0.8689,0.38,0.0,0.62,positive
amazed the waterfall falls directly into the sea wonderful,0.7845,0.496,0.0,0.504,positive
"Happy holidays, enjoy the beautiful waterfalls",0.9246,0.87,0.0,0.13,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
"Pull the pleasure of eating on the lesehan, rest the contents of the stomach with a view of the beach",0.5719,0.163,0.0,0.837,positive
place beautiful convenience,0.5994,0.661,0.0,0.339,positive
Good,0.4404,1.0,0.0,0.0,positive
good sunrise sunset,0.4404,0.592,0.0,0.408,positive
"good view, honey, sea waterfall, cheap entrance ticket price, care for garbage flower, expensive parking price, measuring tourism object motorbikes, please forget to like",0.8402,0.343,0.06,0.597,positive
beautiful beautiful,0.8316,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
good cheap tickets,0.4404,0.592,0.0,0.408,positive
amazed Indonesian charm,0.7096,0.855,0.0,0.145,positive
"Tourism with panoramic views of beautiful waterfalls, estuaries, lips of the north coast of Madura Island, is suitable for tourism",0.5994,0.17,0.0,0.83,positive
"beautiful, very suitable for spoiled tourists, beautiful eyes, waterfalls, different mountains by the coast",0.8316,0.394,0.0,0.606,positive
"the view is beautiful, cool, the atmosphere is on the seafront, only the waterfall is in the rainy season",0.7096,0.264,0.055,0.681,positive
"the place is pretty okay, the view is okay",0.7184,0.538,0.0,0.462,positive
beautiful flowing waterfall beautiful,0.8316,0.796,0.0,0.204,positive
nice photo,0.4215,0.737,0.0,0.263,positive
amazed Indonesian charm,0.7096,0.855,0.0,0.145,positive
the waterfall is really beautiful,0.6361,0.512,0.0,0.488,positive
nice waterfall already got there,0.4215,0.412,0.0,0.588,positive
pull the heart of the gaze to make a holiday impression,0.8316,0.524,0.0,0.476,positive
pretty clean comfortable,0.8481,1.0,0.0,0.0,positive
waterfall falling into sea not else not particularly picturesque but interesting enough visit little warung keren oke with decent food toilets available,0.4488,0.152,0.116,0.732,positive
Good,0.4404,1.0,0.0,0.0,positive
"good, good",0.7003,1.0,0.0,0.0,positive
good straight dirty sea,0.2263,0.552,0.333,0.115,positive
calm,0.3182,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
"the location, km from the Suramadu bridge, the road is pretty good, quiet, too bored, the road, the location directly parks, charges for entering the water location",0.4404,0.183,0.126,0.691,positive
nice fresh air,0.6249,0.836,0.0,0.164,positive
"beautiful waterfall, nice view of the sea, just disappointed there",0.5574,0.399,0.185,0.417,positive
"The northern route of Madura Island, a waterfall forms an irrigation canal for rice fields. The residents suggest playing water, waterfalls, waterfalls before sunset",0.2023,0.073,0.0,0.927,positive
"blue green water is good, the motorbike is still good",0.7003,0.42,0.0,0.58,positive
"when you visit Madura Island, go around covering the northern coast route exploring tourist attractions exploring Bangkal Sumenep, Juju Island, friends, Javanese flavors",0.7096,0.219,0.0,0.781,positive
"loss with a good road, access to the waterfall, a good road, a nice waterfall",0.743,0.393,0.105,0.502,positive
water fresh,0.3182,0.697,0.0,0.303,positive
very cool,0.3804,0.722,0.0,0.278,positive
nice natural waterfall cool atmosphere,0.765,0.792,0.0,0.208,positive
beautiful water falls beach,0.5994,0.565,0.0,0.435,positive
cool abizz there,0.3182,0.535,0.0,0.465,positive
nice place,0.4215,0.737,0.0,0.263,positive
waterfall straight sea ocean clean trash nice photo photo,0.7506,0.552,0.0,0.448,positive
easy access roadside location,0.4404,0.492,0.0,0.508,positive
sunset like nice,0.6486,0.841,0.0,0.159,positive
great views,0.6249,0.804,0.0,0.196,positive
"Tawan sunset later, the location of the main road is easy to reach, km from the Suramadu Bridge, ready with physical provisions for the road",0.6705,0.228,0.0,0.772,positive
natural waterfall crystal clear falling sea,0.5423,0.526,0.165,0.309,positive
"beautiful, very suitable for spoiled tourists, beautiful eyes, waterfalls, different mountains by the coast",0.8316,0.394,0.0,0.606,positive
excellent view sea front,0.5719,0.552,0.0,0.448,positive
"very good tourist destination, please be careful, guys, you can take a shower, keep nature intact, good, good luck",0.9402,0.596,0.0,0.404,positive
solid,0.1531,1.0,0.0,0.0,positive
good place to rest for long trips,0.4404,0.326,0.0,0.674,positive
pretty cool,0.6705,1.0,0.0,0.0,positive
great toro waterfall,0.6249,0.672,0.0,0.328,positive
"toroan waterfall, cheap waterfall, direct to the beach, complete facilities, prayer room, spacious parking area, love the swimming area, the waterfall area is quite a holiday, enjoys nature",0.8943,0.301,0.0,0.699,positive
really okay,0.2944,0.687,0.0,0.313,positive
beautiful water,0.5994,0.796,0.0,0.204,positive
"Looking at nature, it's good, it's cheap, it's a very festive Madura holiday",0.8464,0.478,0.0,0.522,positive
cool abizz there,0.3182,0.535,0.0,0.465,positive
toro waterfall one madura waterfall the source of natural spring water goes straight down to the sea the location of the waterfall is east ketapang village ketapang sub-district head sampang madura district roadside location easy for tourists to visit,0.743,0.169,0.0,0.831,positive
solid,0.1531,1.0,0.0,0.0,positive
the location is easy to reach the entrance ticket,0.4588,0.364,0.0,0.636,positive
good straight dirty sea,0.2263,0.552,0.333,0.115,positive
solid,0.1531,1.0,0.0,0.0,positive
"take care of minimal facilities, the distance to the toilet venue is decent",0.4939,0.211,0.0,0.789,positive
"Surabaya clock, via the north coast road, Madura road, smooth asphalt, good, good, swimming, bathing there, danger of taking good photos, cafe, prayer room, bathroom, parking",0.6486,0.255,0.1,0.645,positive
beautiful waterfall by the sea nice love to take photos,0.8979,0.609,0.0,0.391,positive
waterfall straight sea ocean clean trash nice photo photo,0.7506,0.552,0.0,0.448,positive
hypnotic view of nature's beautiful eyes,0.5994,0.438,0.0,0.562,positive
nice view,0.4215,0.737,0.0,0.263,positive
beautiful seaside waterfall,0.5994,0.661,0.0,0.339,positive
"Tawan sunset later, the location of the main road is easy to reach, km from the Suramadu Bridge, ready with physical provisions for the road",0.6705,0.228,0.0,0.772,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
touch clean,0.4019,0.73,0.0,0.27,positive
"arrived there, looked at the calendar, cool photos, wrong waterfall, water immediately continued to the sea, waw careful swimming, afraid to drag the sea, the tide is really worth it, the water is calm, clear like crystal",0.7574,0.284,0.105,0.611,positive
beautiful,0.5994,1.0,0.0,0.0,positive
nice rate,0.4215,0.737,0.0,0.263,positive
